,train_mean,train_std,test_mean,test_std
accuracy,0.9318856585165399,0.016402188415663016,0.9311280049311691,0.017185843322077798
precision,0.9238273946123272,0.018159839696401288,0.9230024664508264,0.018917875979777538
recall,0.9357964483804005,0.011886400860807124,0.9350806932122826,0.012839440166597943
f1,0.9283137661846176,0.016530964362233135,0.927532047956019,0.017353118401930136
